song_name,artist,genre,popularity,release_date,music_link,track_id,image,duration_ms,explicit,external_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
How Did I Get Here (feat. J. Cole),"Offset, J. Cole",Rap,51,22/02/2019,https://open.spotify.com/track/32iPykTXUNZ9oGyACGUybq,32iPykTXUNZ9oGyACGUybq,https://i.scdn.co/image/ab67616d0000b2737028679269dc6a5a29ce8f36,276794,TRUE,https://open.spotify.com/track/32iPykTXUNZ9oGyACGUybq,0.883,0.544,2,-7.92,1,0.233,0.507,1.60E-06,0.08,0.114,129.993
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",Rap,77,07/10/2022,https://open.spotify.com/track/4vVjPTApwXZwB2H3mBq3ml,4vVjPTApwXZwB2H3mBq3ml,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,142657,TRUE,https://open.spotify.com/track/4vVjPTApwXZwB2H3mBq3ml,0.825,0.649,11,-4.297,1,0.169,0.117,0,0.232,0.143,127.978
HOTEL LOBBY (Unc & Phew),"Quavo, Takeoff",Rap,69,20/05/2022,https://open.spotify.com/track/0QNNd0qMCDbraS1nQPg3aA,0QNNd0qMCDbraS1nQPg3aA,https://i.scdn.co/image/ab67616d0000b273e5d4be66b75f70d2ffc7b134,142657,TRUE,https://open.spotify.com/track/0QNNd0qMCDbraS1nQPg3aA,0.821,0.636,11,-4.479,1,0.169,0.142,0,0.233,0.163,127.961
Potato Loaded (feat. Destroy Lonely),"Quavo, Destroy Lonely",Rap,64,05/04/2024,https://open.spotify.com/track/79GhK8ZAUQxGFfr6rEpdms,79GhK8ZAUQxGFfr6rEpdms,https://i.scdn.co/image/ab67616d0000b2736269e675b372c8ce16061ccf,138018,TRUE,https://open.spotify.com/track/79GhK8ZAUQxGFfr6rEpdms,0.723,0.823,5,-4.328,0,0.306,0.0657,0,0.396,0.52,140.179
Turn Yo Clic Up (feat. Future),"Quavo, Future",Rap,66,14/07/2023,https://open.spotify.com/track/7LTCmtMpf3JPfBE8gAl64z,7LTCmtMpf3JPfBE8gAl64z,https://i.scdn.co/image/ab67616d0000b27307e6fcc40c758bfc61c1fd5e,230836,TRUE,https://open.spotify.com/track/7LTCmtMpf3JPfBE8gAl64z,0.869,0.557,11,-7.112,0,0.384,0.577,0,0.139,0.629,124.927
Himothy,Quavo,Rap,65,23/02/2024,https://open.spotify.com/track/00p23Uw776hxaIGNWL9S1Y,00p23Uw776hxaIGNWL9S1Y,https://i.scdn.co/image/ab67616d0000b2739d2238c5d6b71a52799492db,159749,TRUE,https://open.spotify.com/track/00p23Uw776hxaIGNWL9S1Y,0.78,0.687,2,-6.039,1,0.244,0.0949,8.70E-05,0.286,0.246,143.931
Turn Yo Clic Up (feat. Future),"Quavo, Future",Rap,64,18/08/2023,https://open.spotify.com/track/2IHdMccpnU0PGHGltqM2Sq,2IHdMccpnU0PGHGltqM2Sq,https://i.scdn.co/image/ab67616d0000b27308af4a3bef56947c7b4ae707,230836,TRUE,https://open.spotify.com/track/2IHdMccpnU0PGHGltqM2Sq,0.866,0.64,11,-5.32,0,0.326,0.555,0,0.138,0.565,124.925
Potato Loaded (feat. Destroy Lonely),"Quavo, Destroy Lonely",Rap,41,04/04/2024,https://open.spotify.com/track/5sJkZSNoNn9Jgobu0tmTf1,5sJkZSNoNn9Jgobu0tmTf1,https://i.scdn.co/image/ab67616d0000b2738ec6e79354aed9ee366f29fa,138018,FALSE,https://open.spotify.com/track/5sJkZSNoNn9Jgobu0tmTf1,0.734,0.809,5,-4.465,0,0.324,0.0349,0,0.298,0.507,140.12
To The Bone (feat. YoungBoy Never Broke Again),"Quavo, Takeoff, YoungBoy Never Broke Again",Rap,63,07/10/2022,https://open.spotify.com/track/4wRJHXHDJnKSPr9IVn0BFR,4wRJHXHDJnKSPr9IVn0BFR,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,283196,TRUE,https://open.spotify.com/track/4wRJHXHDJnKSPr9IVn0BFR,0.899,0.582,11,-7.275,0,0.264,0.0395,0,0.1,0.505,149.973
FLIP THE SWITCH (feat. Drake),"Quavo, Drake",Rap,62,12/10/2018,https://open.spotify.com/track/1rlIrbWboTRGeKfHhgbJRZ,1rlIrbWboTRGeKfHhgbJRZ,https://i.scdn.co/image/ab67616d0000b273a1fc738279f01eb8086fc44d,156195,TRUE,https://open.spotify.com/track/1rlIrbWboTRGeKfHhgbJRZ,0.853,0.637,3,-5.924,0,0.331,0.129,0,0.267,0.496,86.048
