song_name,artist,genre,popularity,release_date,music_link,track_id,image
Watermelon,sKitz Kraven,country,27,2022-12-23,https://open.spotify.com/track/3BhHpAmMrQZWUFL4gAvcqZ,3BhHpAmMrQZWUFL4gAvcqZ,https://i.scdn.co/image/ab67616d0000b2735cc41e16301478c3c71e2705
Long Train Runnin’,The Doobie Brothers,country,0,2023-06-02,https://open.spotify.com/track/504A29C454s55HsyMX6lMx,504A29C454s55HsyMX6lMx,https://i.scdn.co/image/ab67616d0000b2736af1de9349caf6023410e5ce
Leave The Night On,Sam Hunt,country,1,2021-06-04,https://open.spotify.com/track/1IO5OWlyi1yqeNeOdxCGIv,1IO5OWlyi1yqeNeOdxCGIv,https://i.scdn.co/image/ab67616d0000b2736e9645d3b6d35963153bb505
Some Girls - Acoustic,Jameson Rodgers,country,33,2020-02-07,https://open.spotify.com/track/6C2d77cnFFiVPUTsjbJ5t2,6C2d77cnFFiVPUTsjbJ5t2,https://i.scdn.co/image/ab67616d0000b27353d335b78894be22f92b63c0
Long Line of Love,Michael Martin Murphey,country,2,2023-08-24,https://open.spotify.com/track/4J1OqnkUTdvMqd6edCmZdx,4J1OqnkUTdvMqd6edCmZdx,https://i.scdn.co/image/ab67616d0000b273386069246cb96562bc0ceea8
Have I Told You Lately That I Love You,Mickey Gilley,country,11,2023-04-19,https://open.spotify.com/track/2QXrjWVgn9PhQdWOUi1uqD,2QXrjWVgn9PhQdWOUi1uqD,https://i.scdn.co/image/ab67616d0000b273246419cbb399ed707acebaa6
Small Town On It (feat. Chris Lane & Scotty McCreery),HIXTAPE,country,32,2021-10-08,https://open.spotify.com/track/2QiFOU38C8ZysPm688FBML,2QiFOU38C8ZysPm688FBML,https://i.scdn.co/image/ab67616d0000b27367b5350502815ba4ea62c497
I Can't Help It,Johnny Cash,country,27,2024-02-23,https://open.spotify.com/track/3MOoR1g6AD1kPoMY31X2pE,3MOoR1g6AD1kPoMY31X2pE,https://i.scdn.co/image/ab67616d0000b273d2b7076dc84327d5e74159a3
Trainwreck,Ashland Craft,country,22,2020-04-24,https://open.spotify.com/track/1KF1HgToGovteLef5AqjZq,1KF1HgToGovteLef5AqjZq,https://i.scdn.co/image/ab67616d0000b273d74b3c9267d5398134a1dc6e
I Was Neon,Julia Jacklin,country,5,2022-08-23,https://open.spotify.com/track/2QneOvl8fZrXlP1zofIwhg,2QneOvl8fZrXlP1zofIwhg,https://i.scdn.co/image/ab67616d0000b273427d3a2fce04f9952e7748c7
Friday at Five,John Michael Montgomery,country,0,2022-04-29,https://open.spotify.com/track/58FeOVq9C2N5EH7SiLKFfQ,58FeOVq9C2N5EH7SiLKFfQ,https://i.scdn.co/image/ab67616d0000b273781f6f07e203405c9d2abe13
Feels Like Home,Tyler Rich,country,2,2021-06-04,https://open.spotify.com/track/6A6VXtmo59kVKcZuQ3ifTX,6A6VXtmo59kVKcZuQ3ifTX,https://i.scdn.co/image/ab67616d0000b2739bf4f942a7d75adce5c4063a
Black Train,Bukka White,country,1,2020-12-04,https://open.spotify.com/track/3IWYaHBg58hNfAOuUHmAai,3IWYaHBg58hNfAOuUHmAai,https://i.scdn.co/image/ab67616d0000b273582db86ad62ad8606ae28d6f
Baby You Don't Know My Mind,Lonnie Johnson,country,0,2021-10-14,https://open.spotify.com/track/2jLEj6Ibc1RuJq7sa4xxid,2jLEj6Ibc1RuJq7sa4xxid,https://i.scdn.co/image/ab67616d0000b2737373de8b9ec07acc2399f3af
Love the One You’re With,Stephen Stills,country,1,2023-09-01,https://open.spotify.com/track/2TZWN7FFRLgx7i7inLLAh2,2TZWN7FFRLgx7i7inLLAh2,https://i.scdn.co/image/ab67616d0000b273308f534b7524f8cce174af02
Dig,Ian Munsick,country,0,2023-07-28,https://open.spotify.com/track/01RGaKXGj739UlMIo1aIBF,01RGaKXGj739UlMIo1aIBF,https://i.scdn.co/image/ab67616d0000b2735dadd1dc98d246bf772163b7
Shade Of Blue,Kirsty Lee Akers,country,1,2022-04-15,https://open.spotify.com/track/048fHOyOcl6MkzGMpL7u2T,048fHOyOcl6MkzGMpL7u2T,https://i.scdn.co/image/ab67616d0000b2733c181d550db576f7c157c68f
Same Thing,Corey Kent,country,45,2020-02-28,https://open.spotify.com/track/6u9yrAoqEH0z5Jkn3VWYwI,6u9yrAoqEH0z5Jkn3VWYwI,https://i.scdn.co/image/ab67616d0000b273970c6efa6a0da6d13acaed39
The Shake,Neal McCoy,country,0,2023-02-24,https://open.spotify.com/track/4Oj7dB3KjlWvx8cDJArLyA,4Oj7dB3KjlWvx8cDJArLyA,https://i.scdn.co/image/ab67616d0000b27384c808b8a826329ca80bd544
Out of It,Kalie Shorr,country,4,2020-12-04,https://open.spotify.com/track/7xlDkMzRqJZDkpTbBiIJCZ,7xlDkMzRqJZDkpTbBiIJCZ,https://i.scdn.co/image/ab67616d0000b27391ad7a005f8d5d5ec47ca859
One More Plane,Dave Dudley,country,14,2021-08-10,https://open.spotify.com/track/6OlN3Z0S4ASkUhsEPQL5f2,6OlN3Z0S4ASkUhsEPQL5f2,https://i.scdn.co/image/ab67616d0000b273e5a3041ee7b73ea813041af2
There's a Little Bit of Everything in Texas,Ernest Tubb,country,0,2020-03-01,https://open.spotify.com/track/4DuGM5xcLHV6SUHhdT9Ull,4DuGM5xcLHV6SUHhdT9Ull,https://i.scdn.co/image/ab67616d0000b27326d74d90a810c9b2e0994764
A Love That Strong,Neal McCoy,country,2,2022-02-11,https://open.spotify.com/track/3VJ8TdBrGIo1zDd6qxRnIN,3VJ8TdBrGIo1zDd6qxRnIN,https://i.scdn.co/image/ab67616d0000b27371bd671f588ecebdf4959202
Sold (The Grundy County Auction Incident),John Michael Montgomery,country,0,2023-08-18,https://open.spotify.com/track/7LO8LBW4vUgk9igpYiN78Y,7LO8LBW4vUgk9igpYiN78Y,https://i.scdn.co/image/ab67616d0000b2736395057ea4b183feee8271fb
"Baby, It’s Cold Outside",Brett Eldredge,country,0,2023-10-20,https://open.spotify.com/track/4d5KfGgxPlrutZgLHH5vPW,4d5KfGgxPlrutZgLHH5vPW,https://i.scdn.co/image/ab67616d0000b273872bcdcfecf24fd342e139ec
Have Mercy,The Judds,country,4,2022-04-08,https://open.spotify.com/track/50G3Z8mIfMLZE1cYFWujEo,50G3Z8mIfMLZE1cYFWujEo,https://i.scdn.co/image/ab67616d0000b27388e3936fd8a794bb599498af
Over Thinking,Boondox,country,9,2020-12-18,https://open.spotify.com/track/0vnxiXYlJ4oSyJPKrufMYX,0vnxiXYlJ4oSyJPKrufMYX,https://i.scdn.co/image/ab67616d0000b2736251bbebcc8e7284fb957ae5
I Saw Santa In A Bar,Logan Mize,country,7,2023-12-01,https://open.spotify.com/track/4W3HNyG4ZTpwMT0GRReaUC,4W3HNyG4ZTpwMT0GRReaUC,https://i.scdn.co/image/ab67616d0000b273a64ab59b773cb0df72c9dc6d
Wasting All These Tears,Austin Snell,country,3,2023-10-17,https://open.spotify.com/track/3yfciTLC2OcCkqYfX1T8RJ,3yfciTLC2OcCkqYfX1T8RJ,https://i.scdn.co/image/ab67616d0000b273c6094b2857bede7b7fe9998d
Time Machines (Studio A Session),Walker County,country,11,2022-11-11,https://open.spotify.com/track/2Ma2bb199oyT3UKgovgJ5H,2Ma2bb199oyT3UKgovgJ5H,https://i.scdn.co/image/ab67616d0000b2738d4def3cb36197ce397e6892
Middle Of America (feat. American Aquarium),Hailey Whitters,country,2,2022-07-04,https://open.spotify.com/track/1tDL75Gie6W3Lw8bek3p29,1tDL75Gie6W3Lw8bek3p29,https://i.scdn.co/image/ab67616d0000b273719aa61d0ec45549e099246e
Saw III,Kream,rap,14,2022-06-17,https://open.spotify.com/track/6RdMaWYlULEpOtOpeg1ZZ2,6RdMaWYlULEpOtOpeg1ZZ2,https://i.scdn.co/image/ab67616d0000b2734106597b257dadb77859932a
Headlock,Lil Wayne,rap,39,2021-10-01,https://open.spotify.com/track/7aEyRTJPEITFrtuq648Mzp,7aEyRTJPEITFrtuq648Mzp,https://i.scdn.co/image/ab67616d0000b27398d1486777ffe90167ebc5b4
Tiempo,Townix,rap,31,2023-05-05,https://open.spotify.com/track/0cv9ozWDDEnAzfsiJyOgNB,0cv9ozWDDEnAzfsiJyOgNB,https://i.scdn.co/image/ab67616d0000b273ac2e8c9d9ddabd2ff202c942
Kjapt,nvm.kenny,rap,3,2022-02-04,https://open.spotify.com/track/2973IEk5sSNXhNM0gbxeie,2973IEk5sSNXhNM0gbxeie,https://i.scdn.co/image/ab67616d0000b2732d7fda9247aa459f137bf830
ghost in the vein,convolk,rap,27,2021-03-14,https://open.spotify.com/track/0LuwL4uwedsnTrPoz9oxl1,0LuwL4uwedsnTrPoz9oxl1,https://i.scdn.co/image/ab67616d0000b273a61c7fbb82b8ef304121abb2
Nicht kommen sehen,Swiss & Die Andern,rap,35,2020-05-01,https://open.spotify.com/track/1mqqGFCpsPrkbTFekJuH64,1mqqGFCpsPrkbTFekJuH64,https://i.scdn.co/image/ab67616d0000b273e3b60ce247410b41bba53d45
Sous-côté,Nirmou,rap,25,2021-06-11,https://open.spotify.com/track/7CQWIgNptpQTRn9xXzhUx9,7CQWIgNptpQTRn9xXzhUx9,https://i.scdn.co/image/ab67616d0000b2737ce870168ce0ae7d0f401efd
Real Mexicana,Hispana,rap,16,2022-04-08,https://open.spotify.com/track/7ylqnDFUwjDxgHgQ8mar7C,7ylqnDFUwjDxgHgQ8mar7C,https://i.scdn.co/image/ab67616d0000b2738a6800c9f3ed84bcfd8f5356
Bata De,LXSH,rap,20,2023-03-30,https://open.spotify.com/track/3Iw9eZ6t2yih7zjf13csuM,3Iw9eZ6t2yih7zjf13csuM,https://i.scdn.co/image/ab67616d0000b2731b706bbdda832bdc3f2264a0
THAT TIME I GOT REINCARNATED AS A NERDCORE RAPPER (Skit),Breeton Boi,rap,4,2021-12-16,https://open.spotify.com/track/2iViBcOPLIn0zusMZBo9im,2iViBcOPLIn0zusMZBo9im,https://i.scdn.co/image/ab67616d0000b2730c9193bced44fe558b95c576
Super Gremlin,Kodak Black,rap,1,2023-02-18,https://open.spotify.com/track/5OutaPZR9wu6ANkFE5uU2Q,5OutaPZR9wu6ANkFE5uU2Q,https://i.scdn.co/image/ab67616d0000b273e099bb385c1996415d652024
