song_name,artist,genre,popularity,release_date,music_link,track_id
Background for Cafe Rejuvenations,Harlem Jazz Guitar Quartet,jazz,0,2023-05-05,https://open.spotify.com/track/59WI7KxEN1wAkAr6v3cyin,59WI7KxEN1wAkAr6v3cyin
Astounding Mellow Mornings,Tokyo Bebop Jazz Playlist,jazz,0,2023-01-07,https://open.spotify.com/track/1mp9L82VCF4mXACNL7nEv9,1mp9L82VCF4mXACNL7nEv9
Understated Backdrops for Wild Stress,Restaurant Jazz Classics,jazz,0,2022-12-08,https://open.spotify.com/track/4oSdzbz0mdRxNyw1Ufwd5O,4oSdzbz0mdRxNyw1Ufwd5O
Saxophone Bossa Soundtrack for Morning Wellness Coffee,Classic Jazz,jazz,0,2022-08-05,https://open.spotify.com/track/2Zjvzg2hlLkU0PcuIlG229,2Zjvzg2hlLkU0PcuIlG229
Magical Baking,Background Jazz Music,jazz,0,2020-10-20,https://open.spotify.com/track/72R9WY1pZ7TkVnwZpyQ9fY,72R9WY1pZ7TkVnwZpyQ9fY
Unique Entertaining Mornings,Jazz Instrumental Chill,jazz,0,2022-11-26,https://open.spotify.com/track/3MvxfULUADWYg1XCIDW4DM,3MvxfULUADWYg1XCIDW4DM
Thrilling Positive Channeling,Deluxe Cafe Music,jazz,0,2022-12-01,https://open.spotify.com/track/3QROXnMKRKqEpOdtsOVslf,3QROXnMKRKqEpOdtsOVslf
Romantic Backdrops for Coffee House Music,Cafe Music Deluxe,jazz,0,2022-12-16,https://open.spotify.com/track/50YF4Vyy2jr13LaoW3gTg8,50YF4Vyy2jr13LaoW3gTg8
Disco Is the Thing Today - Disco Mix,The Meters,jazz,0,2021-08-13,https://open.spotify.com/track/76jdXucDzfEeq4J3ALEpYk,76jdXucDzfEeq4J3ALEpYk
Background for Focusing,Dinner Jazz Orchestra,jazz,0,2020-11-10,https://open.spotify.com/track/0FnLGy3wCZqdydJDQKwwaJ,0FnLGy3wCZqdydJDQKwwaJ
